カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
													Lv255 乱義	Lv63 リセット			
													Lv305 乱義	運命の女 山本五十六			
														熟女 香姫			
Lv97 元就	毛利元就	９７	"\"""	１６０ｃｍ	５５ｋｇ	毛利家次期当主	剣１、メイド１	てるとランスの間に生まれた子	獣のように獰猛な男でいくさ狂いの異常人	しかし、毛利家の中ではそれが正常	不死の呪いを受けており、並大抵のことでは死なない	"\"""	Lv97 元就	Lv63 リセット			
													Lv247 元就	Lv40 毛利てる			
													Lv297 元就	Lv42 吉川きく			
														Lv37 小早川ちぬ			
Lv247 元就	毛利元就	２４７	"\"""	１６０ｃｍ	５５ｋｇ	毛利家次期当主	剣１、メイド１	血の猛るままひたすらに、	暴れ狂うが毛利の華	なれば魔人も魔王も神も、	噛み付き砕いてみせようぞ。	"\"""	Lv97 元就	Lv63 リセット			
													Lv247 元就	Lv40 毛利てる			
													Lv297 元就	Lv42 吉川きく			
														Lv37 小早川ちぬ			
Lv297 元就	毛利元就	２９７	"\"""	１６０ｃｍ	５５ｋｇ	毛利家次期当主	剣１、メイド１	毛利家としての生き様を骨身に叩き込まれてきた元就は	己が悪童であると自覚しつつも、決して家族だけは	裏切ってはならないと心に誓っている	叔母さん的にはそろそろ料理なども教えていきたい	と思っているが、もう手遅れかもしれない	Lv97 元就	Lv63 リセット			
													Lv247 元就	Lv40 毛利てる			
													Lv297 元就	Lv42 吉川きく			
														Lv37 小早川ちぬ			
Lv63 リセット	リセット・カラー	６３	１６	１２５ｃｍ	？？	カラー姫 シャングリラ外交官	弓１、魔法１、幸運１	パステルとランスの間に生まれた子	世界の要衝シャングリラの外交官として活躍しており	大陸中に様々な人脈を持っている	人を正気に戻すクラウゼンの手は、過去の	魔王との戦いでも極めて重要な役割を果たしてきた	Lv63 リセット	Lv400 ランス			
													Lv253 リセット	Lv50 パステル			
													Lv303 リセット				
Lv253 リセット	リセット・カラー	２５３	１６	１２５ｃｍ	？？	カラー姫 シャングリラ外交官	弓１、魔法１、幸運１	父親譲りの無限の才能限界を持つリセットだが	本質的に戦闘は得意ではない。	それでも悔いを残さないよう、リセットは	ありったけの力を尽くす。	その手を父に届けるため。	Lv63 リセット	Lv400 ランス			
													Lv253 リセット	Lv50 パステル			
													Lv303 リセット				
Lv303 リセット	リセット・カラー	３０３	１６	１２５ｃｍ	？？	カラー姫 シャングリラ外交官	弓１、魔法１、幸運１	外の世界は恐ろしいと聞かされていたリセットだが	ランス城の日々は、世界をとても楽しいものと感じさせた	本当はそうでなかったとしても、そうあってほしいと願う	家族にとっても、そういう世界であってほしいと願う	"\"""	Lv63 リセット	Lv400 ランス			
													Lv253 リセット	Lv50 パステル			
													Lv303 リセット				
Lv20 松下姫	松下姫	２０	"\"""	４２ｃｍ	？？	ポピンズ連合王国 第６王女	からくり１、冒険１	ポピンズ王東芝と王妃日立の間に生まれた娘	思い込みが激しく	走り出したら止まらない情熱的な性格	"\"""	"\"""	Lv20 松下姫	Lv180 ダークランス			
													Lv21 松下姫	ポピンズ 東芝王子			
													Lv22 松下姫	ポピンズ 日立姫			
Lv21 松下姫	松下姫	２１	"\"""	４２ｃｍ	？？	ポピンズ連合王国 第６王女	からくり１、冒険１	母親から情熱的な恋物語を聞かされて育ち	ラブロマンスにとても憧れを抱いている。	地上との交流がどんどん活発になってきた	世代に生まれたため、ポピンズよりも	人間との恋に憧れがある	Lv20 松下姫	Lv180 ダークランス			
													Lv21 松下姫	ポピンズ 東芝王子			
													Lv22 松下姫	ポピンズ 日立姫			
Lv22 松下姫	松下姫	２２	"\"""	４２ｃｍ	？？	ポピンズ連合王国 第６王女	からくり１、冒険１	年齢的にはリセットの数歳年下になるが	寿命の短いポピンズとしては立派な成人	"\"""	今回のメンバーでもっとも	「ちゃんとしたレディ」と言えるだろう	Lv20 松下姫	Lv180 ダークランス			
													Lv21 松下姫	ポピンズ 東芝王子			
													Lv22 松下姫	ポピンズ 日立姫			
Lv89 深根	徳川深根	８９	"\"""	１５５ｃｍ	？？	癒し巫女	巫女２	千姫とランスとの間に生まれた子	もともと甘えん坊気質なところがあった娘だが	巫女としての厳しい修行の反動で	さらに甘えん坊になってしまった	目指せ世界一の末っ子	Lv89 深根	Lv85 乱義			
													Lv259 深根	Lv63 リセット			
													Lv309 深根	Lv45 千姫			
														熟女 香姫			
Lv259 深根	徳川深根	２５９	"\"""	１５５ｃｍ	？？	癒し巫女	巫女２	怠け者な深根だが、もともと	巫女として極めて大きな力を持っていた。	"\"""	甘えてばかりではいられない。	みんなを守りたいから、深根は頑張った	Lv89 深根	Lv85 乱義			
													Lv259 深根	Lv63 リセット			
													Lv309 深根	Lv45 千姫			
														熟女 香姫			
Lv309 深根	徳川深根	３０９	"\"""	１５５ｃｍ	？？	癒し巫女	巫女２	セックスを通じて魂の汚染を吸収する癒やし巫女だが	深根はその訓練で処女を失ったわけではない。	一応その手のテクニックを勉強はしたが、	実践したことはないのでどれほどのものか、本人にも	分からない。長田君とか割れそうだし。	Lv89 深根	Lv85 乱義			
													Lv259 深根	Lv63 リセット			
													Lv309 深根	Lv45 千姫			
														熟女 香姫			
Lv22 長田君	長田君	２２	"\"""	１５０ｃｍ	１５０ｋｇ	冒険者	ハニー１、冒険１	ハニワ界きってのおしゃれハニー	なんか冒険とかカッコよくね？と	最近冒険を始めた。	"\"""	"\"""	Lv22 長田君	Lv32 ＜エール男Ａ＞			
													Lv30 長田君	Lv32 ＜エール男Ｂ＞			
														Lv32 ＜エール女Ａ＞			
														Lv32 ＜エール女Ｂ＞			
Lv30 長田君	長田君	３０	"\"""	１５０ｃｍ	１５０ｋｇ	冒険者	ハニー１、冒険１	好きな女の子のタイプはおっぱいが大きい人	それでできれば眼鏡をかけてくれてると嬉しいけど	まずはおっぱいかな、うん。	"\"""	"\"""	Lv22 長田君	Lv32 ＜エール男Ａ＞			
													Lv30 長田君	Lv32 ＜エール男Ｂ＞			
														Lv32 ＜エール女Ａ＞			
														Lv32 ＜エール女Ｂ＞			
Lv64 ヒーロー	ヒーロー・ヘルマン	６４	"\"""	３５５ｃｍ	８２０ｋｇ	ヘルマン市民 ドラゴンカラーハーフ	プロレス２ ドラゴン１	パットンとハンティの間に生まれた子	ドラゴンカラーの性質を強く受け継いだ外貌だが	精神的には年齢相応の子供。	シーラ親子とは生まれたときから親交があり	レリコフとは大の仲良し	Lv64 ヒーロー	Lv119 レリコフ			
														ハンティ			
														Lv54 パットン			
Lv180 ダークランス	ダークランス	１８０	"\"""	１７３ｃｍ	６５ｋｇ	冒険者 はぐれ悪魔	剣２、悪魔１	フェリスとランスの間に生まれた子	魔王の子の長兄であり、数年前には世界を率いて	魔王ランスとも戦った英雄的存在	"\"""	因縁を断ち切るためネプラカスを追い続けている	Lv180 ダークランス	Lv63 リセット			
													Lv260 ダークランス	熟女 マリア			
													Lv320 ダークランス	堕天使 ヌーク７７			
														悪魔 フェリス			
														１級魔神 ネプラカス			
Lv260 ダークランス	ダークランス	２６０	"\"""	１７３ｃｍ	６５ｋｇ	冒険者 はぐれ悪魔	剣２、悪魔１	ランスを倒さねばならないという妄執に	取り憑かれていたダークランスだったが	家族や仲間の支えによってその重圧から解放された。	今は、ただ愛する家族を守るために力をふるう	"\"""	Lv180 ダークランス	Lv63 リセット			
													Lv260 ダークランス	熟女 マリア			
													Lv320 ダークランス	堕天使 ヌーク７７			
														悪魔 フェリス			
														１級魔神 ネプラカス			
Lv320 ダークランス	ダークランス	３２０	"\"""	１７３ｃｍ	６５ｋｇ	冒険者 はぐれ悪魔	剣２、悪魔１	たびたび襲い掛かって来るネプラカスを	うまくかわしていたダークランスだったがある日、	ネプラカスの矛先は、彼のパートナーへと向いた	重傷を負った彼女の姿を見た時、久しく忘れていた	猛烈な怒りの感情が、魔剣グラムを最大成長させた	Lv180 ダークランス	Lv63 リセット			
													Lv260 ダークランス	熟女 マリア			
													Lv320 ダークランス	堕天使 ヌーク７７			
														悪魔 フェリス			
														１級魔神 ネプラカス			
Lv99 アームズ	アームズ	９９	"\"""	１７５ｃｍ	？？	レアハンター	槍２、冒険１	世界のレアアイテム、レアモンスターを求め	未だ果てぬ旅路をゆく孤高のレアハンター	"\"""	装備に満載された様々なレアアイテムを駆使することで	魔人すら討ち取る超人的な戦闘力を発揮する	Lv99 アームズ	Lv53 日光			
魔剣 カオス															世にも珍しいしゃべる剣	無敵結界を破る事ができる	エロい
魔剣 真カオス															いつものカオスとは一味違う	"\"""	本気の本気の大魔剣
究極うさぎ鍋															一週間待ってください	本物のうさぎ鍋を	食べさせてやりますよ
シルキィメダル															強装魔人シルキィを	撃破した証	"\"""
ハウゼルメダル															爆炎魔人ハウゼルを	撃破した証	"\"""
レキシントンメダル															剛腕魔人レキシントンを	撃破した証	"\"""
バボラメダル															巨大魔人バボラを	撃破した証	"\"""
ケッセルリンクメダル															魔人公爵ケッセルリンクを	撃破した証	"\"""
ガルティアメダル															暴食魔人ガルティアを	撃破した証	"\"""
メディウサメダル															残虐魔人メディウサを	撃破した証	"\"""
レイメダル															暴雷魔人レイを	撃破した証	"\"""
パイアールメダル															頭脳魔人パイアールを	撃破した証	"\"""
ワーグメダル															催眠魔人ワーグを	撃破した証	"\"""
ケイブリスメダル															魔物王ケイブリスを	撃破した証	"\"""
ますぞえメダル															奈落の王ますぞえを	撃破した証	"\"""
かわぞえメダル															天空の王かわぞえを	撃破した証	"\"""
ヨシフメダル															粛清の魔物大将軍	ヨシフを撃破した証	"\"""
ルメイメダル															殲滅の魔物大将軍	ルメイを撃破した証	"\"""
ツォトンメダル															陵虐の魔物大将軍	ツォトンを撃破した証	"\"""
ピサロメダル															略奪の魔物大将軍	ピサロを撃破した証	"\"""
ジャハルッカスの爪															ホルスの災厄	ジャハルッカスの右手	記念に貰っておこう
バンオペタの証Ａ															バンオペタが願い主に	おまけで渡した粗品	シャングリラで拾った
バンオペタの証Ｂ															バファムーンからの餞別	曰く、天使様から	賜ったものらしい
宝剣イングランド															伝説の英雄が愛用した	稀代の名剣。どうやって	隠していたんだろう…
鏡餅															新年のお祝い	頭に乗せやすいように	真ん中がへこんでいる
ＣＩＴＹの看板															「おいでませＣＩＴＹ」	と書かれた看板	せっかくなので回収した
海の思い出															ひりつく肌、揺らめく足元	磯の香り、目を染める青色	とめどない潮風…
高級巻き尺															レア生物フグの好物	長さは３ｍ。ＪＩＳ規格	"\"""
ひまわり型黄金像															能天気な風情の純金の像	何やらとんでもない	代物らしい
ひょうたん型黄金像															猿が好きそうな	きんきらのひょうたん像	これはいいものだ
盆栽型黄金像															おめでたい雰囲気の黄金像	売ればいい値段が付きそう	"\"""
言わ猿型黄金像															ふざけたデザインの黄金像	何か不思議な気配を感じる	気がしなくもない
ＫＤ挑戦権															後のお楽しみだニャ	大事にとっておこう	"\"""
ヒラミレモン															荒ぶる心を安らかにする	魔王にも効くすごいレモン	すっぱい
男の友情															決戦の前夜を、何故か野郎と	語り合ってしまった証	"\"""
上級天使のブラ															世界の根幹を管理する	上位の神に献上する下着	究極のつけ心地
緑の瓶															ＪＡＰＡＮ六大秘宝の一つ	世界の端から捨てると	良いことがあるらしい
タロコンソード															伝説の付与師タロコンが	作り上げた剣	一撃必殺の力を与える
タロコン機関															机上の空論と言われた	タロコン理論を実現	多撃必倒の力を与える
鋼鉄黒飴貝															貝マニアをうならせる	幻の一品。これがため	世界滅そうとも悔いは無し
エリザベート															アリオスの女	エリザベート・デスを	こました証
へケート															アリオスの女	５級悪魔ヘケートを	こました証
ウルンセルの刃															幻の珍獣の骨から作られた	小刀。頭をポキポキ潰して	引っ張ると綺麗に取れる
世界純金ベアー															ワールドクラスのベアー	持ってるだけで	腹筋が割れそう
シィルの杖															おじいちゃんの形見の杖	"\"""	大事に使います
ウニセフの旗															よーいちろーと戦う	秘密結社の旗	"\"""
聖書															世界一出版されるＡＬ教の	経典。毎年改訂が入るので	最新版を買いましょう
高級うし車															最高級の赤兎うしを使用	世界各地へすばやく	送り届けてくれる
精鋭荷駄隊															戦闘がはじまるや否や	魔人討伐隊全員分瞬時に	準備を整えるプロ集団
部隊司令部															リーダー以下４００人超の	魔人討伐隊の動きを	一丸と整える役割
リーザス聖剣															グロス・リーザスが	使用した聖なる剣	白くてかっこいい
ペルシオン															実は喋る剣	インテリジェンスソード	でも超無口
タツノオトシドコロ															ここはこの辺で手打っとき	ましょう。そういう大人の	判断が、大事なんですよ
調教バイブル															高名な調教師が著した名書	１２の国で	発禁となっている
リーザスの旗															赤色が鮮やかなリーザスの	国旗。リーザスの家庭なら	どこにでも備えがある
王家の歴史書															王家を中心にリーザスの	歴史が描かれている	ヘルマンが超悪役
ヘルマン石壁															頑健で知られるヘルマンの	砦に使われる石壁	ロッキーにでも運ばせよう
ストロンガー															マルグリッド迷宮で	発見された強力な弓	電気がスパークしている
真・守り神様															不幸から身を守ってくれる	とってもありがたい神様	守ってくれるよね？
ヘルマンの旗															質実剛健なヘルマンの国旗	掲げればヘルマン兵の	士気はたちどころに上がる
ザナゲスサーガー															ヘルマン建国者について	描く長編小説。全巻揃うと	バリスタも防ぐぶ厚さ
マジックウール															魔力を吸収するレア生物	魔法ひつじの毛糸	静電気も効かない
コメットさん															これにまたがって	夜空を飛ぶさまは	まるで彗星のよう
愛フォーン９															９とは８の次である	Ｘはガチで偶然被りました	"\"""
ゼスの旗															金糸が豪華なゼスの国旗	上等なためか	あまり外では見かけない
中級魔導書															実戦レベルの魔法理論が	学べる魔導書	ゼス魔法軍の標準装備
恐怖の槍															狙い定めた者を	どこまでも追いすがる	逃がさない
３段ロケットエンジン															切り離していくのが	正しい使い方だが	もったいなくてできない
チューリップ２号															マリアが開発した固定砲台	機動力を犠牲にしているが	強力無比な火力を誇る
チューリップ３号Ｈ															マリアが開発した移動砲台	通称「戦車」	うなれ黒鉄の砲台よ！
アスカのパンツ															にゃんにゃんが	プリントされたアスカ	お気に入りのパンツ
チューリップ兵															チューリップシリーズの	運用に熟知した	マリア工場のスタッフ達
自由の旗															自由都市連合軍の旗だが	色は大口スポンサー３国を	象徴している。金が全てや
独立宣言書															ヘルマンから解放された折	なされた宣言。パットン	さん、聞こえてます？
法王のアリス像															ＡＬ教法王にのみ所持を	許された最高級の像	埃をかぶっている
司教のアリス像															世界に四つしかない激レア	これを賜った時の	ミーくんの喜びたるや…
司祭のアリス像															各教会に安置されている	アリス神の像	ありがたい力が宿っている
帝ハチマキ															三種の神器の一つ	日本人がこれを巻くと	物凄い力が湧き出る
ドラゴン手袋															武術を嗜む者ならば誰もが	憧れる最上級のグローブ	装備するとちょっと可愛い
新品もじゃ人形															保存状態良好。新品です	ノークレームノーリターン	でお願いします
オロチの牙															聖獣オロチの体の一部	妖怪を大陸に連れていく	ことができる
妖怪宝具															政宗と嫁たちの	思い出の品	とっても大事
日の丸															ハニー達が何故か好きな	どこかの旗	洗練されたデザイン
日本昔話															ＪＡＰＡＮの良い子の	坊やたちがねんねする前に	聞かされるおとぎ話
仏陀															ＪＡＰＡＮの悪魔が	作ったとも言われる	ゴウランガな杖
中元避け茶漬け															避けの字が縁起が良い説	失礼にあたる説両方ある	扱いに困る系ギフト
カラー国旗															他国との交流に必要と	いうことで急遽デザイン	したカラーの里の国旗
チワワの飼い方															有毒危険生物チワワは	正しい飼い方を知れば	心強い門番となります
ドラゴンの加護															小数点以下の確率で	ドラゴンからドロップする	と言われる凄いアイテム
カラーの秘宝															カラーの里に結界を張る	ための３つの強力な神具	"\"""
ドリルの材料															ぐるぐる地面を掘り進める	ドリルを作るための素材	高純度のロマンが必要
耐熱合板															ブレイブ号の装甲を	補強するための素材	"\"""
空気の素															お湯に戻して空気にする	地中で長時間活動するため	には酸素のストックも重要
非売品ゲーモッチ															マニアでなくとも	興味惹かれる	レトロな魅力
衝撃のあるベルト															衝撃力は無くとも、	衝撃的な性能を持っている	…違うか？
赤色の円柱															聖女モンスターがそろった	時に現れる謎のアイテム	ちょっと大人の匂い
青色の円柱															聖女モンスターがそろった	時に現れる謎のアイテム	ちょっとジポい匂い
命の卵															ウェンリーナーの卵	そこはかとない	やさしさを感じる
大地の卵															ハウセスナースの卵	そこはかとない	雄大さを感じる
時の卵															セラクロラスの卵	そこはかとない	不思議パワーを感じる
力の卵															ベゼルアイの卵	そこはかとない	力強さを感じる
マエリータ隊															様々なモンスターから	厳選した個性派ぞろいの	少数精鋭部隊だ！
全魔物大百科															地上に現存するすべての	モンスターを網羅した事典	魔法の力で自動改訂される
タイニリーチＡ															女の子モンスターを	脱がしたら出てきた	攻撃範囲が少し広がる
タイニリーチＢ															また女の子モンスター	が持っていた	…流行ってるのか？
タイニリーチＣ															女の子モンスターが	お守りにしているらしい	全部で五種類だそうだ
タイニリーチＤ															全部揃えると	何か良いことがあるらしい	"\"""
タイニリーチＥ															全部そろった	で、結局何なんだこれは？	"\"""
機々械々															ポリゴン系レア生物の死骸	これを持っているだけで	冒険者として一目置かれる
聖刀 日光															魔剣カオスと対をなす	インテリジェンスソード	無敵結界を破れる
耐性宝冠アレル															王冠から発する威光が	肉体を頑丈にする	ケイキが良いね
神官ソード															ＡＬ教の武僧が使う剣	一般的な剣より装飾が	カッコいい
神官冒険服															聖職者が旅をする時に着る	全体的に上等な品	"\"""
法王の加護															母はいつでもあなたを	見守っていますよ	"\"""
信じる心															仲間と助け合い苦難に	立ち向かう心が	育まれていく
医学全集															今を時めく新学問	半分くらいがミックスの	論文の引用
トー家の家紋															誇り高きトー家の証	いらないわよこんなの…	"\"""
かなみ忍法帳															かなみがわが子のために	書き記した。これさえ	あれば、天井裏生活も快適
イカス服															いずれ来るイカの時代を	見越した最新のモード	イカスじゃーん？
巫女服															ＪＡＰＡＮの巫女が	身につける衣装	肩のところがポイント
深根の鈴															千姫からのプレゼント	実は修行をサボった時	音でわかるように渡した
グラム															感情を吸って力を増す	悪魔王の子レガシオより	授かった魔剣
マフラー															母からの最初のプレゼント	大事に取ってある	"\"""
従者の鎧															ロッキーが、奴隷時代から	愛用していた重装の鎧	時代の重みを感じる
料理道具一式															ロッキーの所有物で一番の	高級品。 皆様に適当な	料理はふるまえないだす
守護神パセリ															いつもスシヌを	見守ってきたおばあちゃん	成仏しなさそう
勇気のペン															持っているだけで心強い	受験生に人気のグッズ	効果ある？
昭和の鉄骨															どこからか流れ着いた	重鉄の柱	正しい使い方は知らない
叔父のグローブ															パットンが愛用したグラブ	並の人間には扱えない重量	"\"""
ヒーローの卵片															へその緒的な感じで記念に	とってある卵殻の欠片	アームズさん興味津々
重い棍棒															どこかで見たことがある	超重量の棍棒	"\"""
バイロード															リーザス赤の軍将軍に	代々受け継がれる	伸縮自在の魔法剣
リーザス鎧															将軍用の装備に王侯用の	装飾があしらわれている	世界一高い鎧になった
クリスタルロッド															志津香がランスとともに	電卓迷宮で手に入れた	最高級の魔法具
獣化の技術															ナギが研究している魔術	人体に無害なレベルで	僅かに肉体をブーストする
短刀山本丸															山本家に伝わる家宝	これを授かった日	母は少し涙を見せた
ラバウルの弓															ＪＡＰＡＮから世界へと	大陸に楔を打ち込む	覇道の一弓
厳島神社															５年前の満潮で	中つ国と死国の間を	泳いで横断した際発見した
携帯ご先祖様															お婆ちゃんのプレゼント	ひいお婆ちゃんも手伝った	"\"""
父のプレゼント															お父さんがくれた謎の置物	大事な思い出の宝物	"\"""
洗濯機															東芝王が開発したからくり	ポピンズ王国の	三種の神器の１つ
冷蔵庫															日立王妃が開発した	ポピンズ王国の	三種の神器の１つ
珍しい貝１															ほほうＨＴ貝ですか	発色の良い状態が	保たれていますね
珍しい貝２															カンブリア貝ですね	突起が折れていないものは	大変貴重ですよ
珍しい貝３															アルキタ巻き貝ですか	意外とマニアックな所を	突いてくるのですね
珍しい貝４															こ、これは真オーロラ貝…	腕を上げましたね	"\"""
魔力の杯															文芸復興ー！	"\"""	"\"""
青巫女絵巻															とてもありがたい	ご加護を与えてくれる	幸せの青い巫女
ルンルンバ															陽気なリズムでお掃除	ご主人様、万年床は	おやめください！
掴み鷲															素敵なあれもこれも	つかんで離さない	よくばりな一品
楽馬															楽し気な様子が縁起良い	背中に乗ってたら	落っこちちゃうね
ブロブロッサム															ブロックするブロッサムの	ブローチ ブロブロブロ	"\"""
ゴーストパイプ															吸ってはいけない。吹く	じゃないと口から	出てくるからね、ゴースト
道楽師マスク															楽しげに見せておいて	子供にトラウマを植える	そんなつもりないのに
ゴールドライター															み…未成年にだって	ライターの使いみちは	あるんだーっ
鐘のなる木															まさに金のなる木だぜ…	うん、だからそうだって	"\"""
長髪まねき猫															オラオラ来いやお客さん	なんだビビってんのか？	ちょっと腹立つ
初夢宝船															めでたさを詰め込んだ	珠玉の逸品 夢に見るまで	目に焼き付けて寝よう
トンでもない奴															トンでもない	あたしゃぶたですよ	"\"""
フェアリーランタン															妖精の魔力をただの光源に	使う贅沢な一品	"\"""
スッポン天帝															食らいついたら離さない	その根性は見習いたい	"\"""
茶釜の精															いつの間にか徳川家に	あったでっかい茶釜	てんぷらちょうだい
伝説の武具亜人															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具モンスター															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具ＪＡＰＡＮ															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具自由都市															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具ゼス															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具ヘルマン															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具リーザス															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具その他															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具主人公															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具神魔															アームズから譲り受けた	伝説の装備の数々	"\"""
伝説の武具亜人＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具モンスター＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具ＪＡＰＡＮ＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具自由都市＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具ゼス＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具ヘルマン＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具リーザス＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具その他＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具主人公＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
伝説の武具神魔＋															アームズから譲り受けた	強力な伝説の装備の数々	"\"""
火のオーブ															リーザスの廃棄都市	スケールで手に入れた	真紅のオーブ
水のオーブ															ヘルマンの氷雪地帯	巨大戦艦で手に入れた	紺碧のオーブ
土のオーブ															ゼスのパワジオンセン迷宮	で手に入れた	紫紺のオーブ
金のオーブ															ＪＡＰＡＮの死国で	手に入れた	山吹のオーブ
木のオーブ															自由都市地帯の	闘神都市で手に入れた	萌葱のオーブ
幼女 アスカ	アスカ	５	"\"""	８７ｃｍ	？？	リーザス魔法軍特別隊員	魔法１、召喚２	ぬいぐるみとなった祖父の体となってくれる	小さな女の子。	"\"""	戦争は怖いけど、おじいちゃんのために頑張る	魔法の才能は上々	幼女 アスカ	Lv39 チャカ			
														Lv48 メルフェイス			
														Lv34 ミル			
Lv49 ジャロ	ジャロ	４９	"\"""	１５６ｃｍ	７２ｋｇ	リーザス第１軍（黒の軍）隊員	"\"""	レベルが高いということで	メルフェイスのセックス相手に選ばれた男	"\"""	最初は有頂天だったが、己の立場の情けなさに	次第にねじれていった	Lv49 ジャロ	Lv48 メルフェイス			
														Lv39 チャカ			
														Lv37 バレス			
Lv?? ブリティシュ	ブリティシュ	？？	"\"""	？？？	？？？	壁	剣２、ガード２	伝説の英雄エターナルヒーローのリーダー	カオスすら認める稀代の英雄だった	魔女エイナの弟子シンという男がエイナを討たれた	復讐心から禁呪を放ち、ブリティシュは	呪いのコンクリート漬けにされてしまった	Lv?? ブリティシュ	Lv53 日光			
														Lv46 カフェ			
														Lv?? ホ・ラガ			
														魔剣 カオス			
熟女 リア	リア	１５	"\"""	１６０ｃｍ	？？	リーザス女王	政治２、性技１	相も変わらず辣腕ぶりを発揮する	リーザスの国王。今年で在位２０年	"\"""	王者の道を突き進む怖い人だが息子には甘々	"\"""	熟女 リア	Lv85 ザンス			
														Lv400 ランス			
Lv25 コンバート	コンバート	２５	"\"""	１４８ｃｍ	７４ｋｇ	ヘルマンＡ級犯罪者	戦術１	元ヘルマン第二軍副将	悪宰相ステッセルと通じ、	パットンとヒューバートの盟友	アリストレスを謀殺した	権力者として返り咲くために魔物とすら結託する	Lv25 コンバート	Lv39 カチューシャ			
														大将軍 ピサロ			
Lv32 バード	バード・リスフィ	３２	"\"""	１８０ｃｍ	６９ｋｇ	冒険者	剣１、冒険１	顔が良いため女性にモテるが誰かと仲良くするたびに	ランスに寝取られていった。	何よりも彼は一目見た時からシィルに想いを寄せていた	不遇の日々が心を漆黒に染めていく。	"\"""	Lv32 バード	Lv42 ランス			
														Lv35 シィル			
Lv?? ホ・ラガ	ホ・ラガ	？？	"\"""	１７５ｃｍ	７９ｋｇ	隠者	魔法３	伝説の英雄エターナルヒーローの一員	ブリティシュの人物に惹かれ、魔王討伐の旅を	共にした凄腕の魔法使い。現在は北端の塔に隠遁し、	眉目秀麗な男性の貞操と引き換えにあらゆる知識を授ける	「北の賢者」の名で世に知られる	Lv?? ホ・ラガ	Lv?? ブリティシュ			
														Lv53 日光			
														Lv46 カフェ			
														魔剣 カオス			
よーぜふ	よーぜふ	"\"""	"\"""	７０ｃｍ	６０ｋｇ	ペット	"\"""	ホ・ラガのペット	かたつむりが好物	"\"""	"\"""	"\"""	よーぜふ	Lv?? ホ・ラガ			
熟女 シーラ	シーラ	３５	"\"""	１６１ｃｍ	？？	ヘルマン共和国大統領	神魔法１、投石１、魔鉄匠１	ヘルマンが民主政に移行してから１６年強	すべての大統領選に勝利してきた	時には自分が立候補していないのに当選して	しまったことも。	それはそれでどうなのか、とちょっと不安	熟女 シーラ	Lv119 レリコフ			
														Lv64 ヒーロー			
														Lv400 ランス			
タイガー将軍	タイガー将軍	４８	"\"""	１８１ｃｍ	７９ｋｇ	東ヘルマン軍 将軍	短剣１、戦術１	魔王によって妻子を殺された後	ホワイト将軍の東ヘルマン建国に協力した	"\"""	魔王を肯定する世界のすべてを否定することが	彼にとっての弔い	タイガー将軍	Lv63 リセット			
ランスＪｒ	ドギ・マギ	３８	"\"""	１８３ｃｍ	９２ｋｇ	ランス盗賊団 首魁	"\"""	片田舎の盗賊団としては破格の強さで	魔王の子を自称していた男	"\"""	"\"""	"\"""	ランスＪｒ	Lv31 ロッキー			
冬将軍１８１２	冬将軍１８１２	？？	？？	６ｍ	２ｔ	モンスター	"\"""	寒冷地帯に現れるモンスター	周囲一帯を猛吹雪にしてしまう	"\"""	わざと負けて逃げることで相手を奥へ奥へと	引き込んでいく恐ろしい魔物	冬将軍１８１２	"\"""			
冬将軍１９４２	冬将軍１９４２	？？	？？	６ｍ	２ｔ	モンスター	"\"""	血も凍る零下３０度の氷雪世界	"\"""	チューリップも凍る	"\"""	"\"""	冬将軍１９４２	"\"""			
３級魔神 ザカリテ	ザカリテ	？？	？？	？？	？？	はぐれ悪魔	悪魔２	「契約の椅子」というマジックアイテムに潜むはぐれ悪魔	椅子に座ると、命と引き換えに願いを叶えるというが	契約は誠実に履行することなく言葉巧みに魂をだまし取る	"\"""	ゼス王家の者を何人も食い物にしてきた	３級魔神 ザカリテ	英霊 パセリ			
